,SERIES_ID,SUB_CATEGORY,TITLE,GENRE,SERIES_RATING,SEASON_NUM,SERIES_OVERVIEW,CAST,CREW,LOGO,POSTER,TRAILER
39,4376,시리즈,JAG,,16,10,"Harmon ""Harm"" Rabb Jr. is a former pilot turned lawyer working for the military's JAG (Judge Advocate General) division, the elite legal wing of officers that prosecutes and defends those accused of military-related crimes. He works closely with Lt. Col. Sarah Mackenzie, and together they do what needs to be done to find the truth.","David James Elliott, Catherine Bell, Patrick Labyorteaux","Donald P. Bellisario, Michael Zinberg, Charles Holland",https://image.tmdb.org/t/p/original/ac4uUoKUD0kTxXHm04dp7u10ksc.png,https://image.tmdb.org/t/p/original/zPyHpkJZ5O08lbgrQQIROXtb3xz.jpg,https://www.youtube.com/watch?v=None
40,4419,시리즈,Real Time with Bill Maher,,18,22,"Each week Bill Maher surrounds himself with a panel of guests which include politicians, actors, comedians, musicians and the like to discuss what's going on in the world.",Bill Maher,"Alessio Pollacci, Kelly D. Hommon, Keith Truesdell",,https://image.tmdb.org/t/p/original/pbpoLLp4kvnYVfnEGiEhagpJuVZ.jpg,https://www.youtube.com/watch?v=None
41,4482,시리즈,Bewitched,,6,8,"Samantha Stephens is a seemingly normal suburban housewife who also happens to be a genuine witch, with all the requisite magical powers. Her husband Darrin insists that Samantha keep her witchcraft under wraps, but situations invariably require her to indulge her powers while keeping her bothersome mother Endora at bay.","Elizabeth Montgomery, Dick Sargent, Agnes Moorehead","Harry Ackerman, William Asher, Danny Arnold",https://image.tmdb.org/t/p/original/1RksPe8I9h1Ts24gybDsy2L36Ce.png,https://image.tmdb.org/t/p/original/7UZVO1SclbgVWM2ELrwWGaS7i94.jpg,https://www.youtube.com/watch?v=0oT208N0Xd4
42,4556,시리즈,Scrubs,Comedy,12,9,"In the unreal world of Sacred Heart Hospital, John ""J.D."" Dorian learns the ways of medicine, friendship and life.","Zach Braff, Donald Faison, John C. McGinley","Zach Braff, Corey Nickerson, Kevin Etten",https://image.tmdb.org/t/p/original/6lCg07nxaLGpEap849catTySkvi.png,https://image.tmdb.org/t/p/original/u1z05trCA7AuSuDhi365grwdos1.jpg,https://www.youtube.com/watch?v=zOgb3KIJDY8
43,4586,시리즈,길모어 걸스,"코미디, 드라마",12,7,독립심이 강한 싱글맘 로렐라이는 아이비리그 진학은 문제없을 정도로 명석한 두뇌를 가진 딸 로리를 키운다. 이 모녀 사이에는 항상 재치 넘치는 대화가 끊이지 않는다.,"Lauren Graham, 알렉시스 블레델, Scott Patterson","Gavin Polone, John Stephens, Chris Long",https://image.tmdb.org/t/p/original/knLz8N6ADgqfRyfgFTFJIEYG3jM.png,https://image.tmdb.org/t/p/original/8hWwBpB1mLUKqzjdGrcvJcIklp4.jpg,https://www.youtube.com/watch?v=Ac47mma8XRA
44,4601,시리즈,Law & Order: Criminal Intent,Drama,16,10,The third installment of the “Law & Order” franchise takes viewers deep into the minds of its criminals while following the intense psychological approaches the Major Case Squad uses to solve its crimes.,"Vincent D'Onofrio, Kathryn Erbe, Julia Ormond","Dick Wolf, Warren Leight, Walon Green",https://image.tmdb.org/t/p/original/zzNoDbK0vvAOdZIzUiwKUjbwyyO.png,https://image.tmdb.org/t/p/original/68MUdrxeokhmd8pvlAjkD6yIfHR.jpg,https://www.youtube.com/watch?v=75IXY062Iqw
45,4604,시리즈,스몰빌,드라마,15,10,우리에게 슈퍼맨으로 친숙한 클라크 켄트의 유년기를 새로이 재조명한 워너 브라더스사의 SF시리즈물 드라마,"Tom Welling, Erica Durance, Cassidy Freeman","Alfredo Septien, Tom Welling, Anne Cofell Saunders",https://image.tmdb.org/t/p/original/ePZAsSSkT2G0j1F1U13ZE675N6I.png,https://image.tmdb.org/t/p/original/pUhJGETy2sec4vEkiqJ9eGeIywc.jpg,https://www.youtube.com/watch?v=70Y32si4yb8
46,4607,시리즈,로스트,"미스터리, 드라마",15,6,"2004년 9월 ABC에서 방영을 시작한 미스테리 스릴러. 남태평양의 한 섬에?오세아닉 815?항공기가 불시착하지만 동체 부분과 후미 부분이 부서지며 공중분해되면서 이름모를 섬에 떨어진다. 의사, 이송 중이던 죄수, 전직 이라크군, 로큰롤 가수 등 다양한 직업을 가진 그들은 구조되어 살아남기 위해 여러 방법을 동원한다. 하지만 구조대는 오지 않고, 밤이 되자 정글 안에서는 무시무시한 소리가 들려온다. 서서히 다가오는, 그러나 보이지 않는 정체 불명의 괴물과 괴이현상들. 고립된 생존자들은 점점 두려움에 빠져들고 극한의 상황으로 내몰리게 된다.","Matthew Fox, 에반젤린 릴리, Terry O'Quinn","Jean Higgins, Edward Kitsis, Sarah Caplan",https://image.tmdb.org/t/p/original/c0I4d9KiVROp0Rx4HJ1nfbk2v2X.png,https://image.tmdb.org/t/p/original/og6S0aTZU6YUJAbqxeKjCa3kY1E.jpg,https://www.youtube.com/watch?v=KTu8iDynwNc
47,4620,시리즈,유레카,"코미디, 드라마",12,5,"미국의 Syfy 채널에서 2006년부터 2012년까지 방영한 SF 드라마이다. 유레카라고 불리는 이 마을은 2차 세계대전이 끝난후에 알베르트 아인슈타인이 해리 S. 트루먼 대통령에게 과학자들의 천국을 만들자고 건의해서 만들어진 마을이며, 현재는 펜타곤이 이 마을을 담당[3]하고 있다. 철통같은 보안으로 51구역이 부러워 한다고 한다...","Colin Ferguson, Salli Richardson-Whitfield, 조 모턴","Rick Maguire, Bear McCreary",https://image.tmdb.org/t/p/original/hzfIri2vgVJJhJd7vWnZlUwS9oi.png,https://image.tmdb.org/t/p/original/f2l5hUk63hPqYTucnFy2HmElFV0.jpg,https://www.youtube.com/watch?v=WiPWghJQS3o
48,4629,시리즈,스타게이트 SG-1,미스터리,12,10,"미국 시간으로 1997년 7월 27일에 첫 방송 되었으며 자그마치 10년에 걸친 드라마이다. 스타게이트 프랜차이즈는 미국드라마 사상 군사 SF류로써는 스타 트렉에 이은 2번째로 긴 시즌+에피소드를 자랑한다. 스타게이트 프로젝트 최초의 결성팀인 SG-1팀의 활약이 주 이야기이며, SG-1은 스타게이트 시리즈 중에서도 단일 드라마로는 미국 기준으로는 스몰빌과 함께 10시즌으로 최장 방영 SF드라마이다.[1] 다만 별 의미는 없지만, 에피소드 수는 스몰빌이 더 많다.

현직 공군 참모총장 두명이 카메오로 출연하고 주연 배우인 리처드 딘 앤더슨[2]이 시리즈 종료 후 공군 명예 준장을 수여받을 정도로 미 공군과의 관계가 각별하다. 공군은 우주군의 역할도 겸하기에[3] 홍보차원에서 SF시리즈에 대대적인 지원을 해 준 것으로 보이지만 사실 10년에 걸친 시리즈 대부분에 지구측 우주선이 거의 등장하지 않는다(...)[4] 애초에 주된 스토리 라인중 하나가 바로 지구측이 우주 함대로 무장하기 위해서 기술을 확보하는 것이 주요 목표중 하나라서 지구측 우주선이 잔뜩 나오면 시리즈가 끝난다(...) 그리고 진짜 끝났다. 덕분에 대부분의 액션은 공군과는 크게 관련없는 잠입/침투나 지상작전(...) 또한 주력으로 등장하는 총기가 공항 등 후방 방어용으로 설계된 P90만 죽어라고 등장하는 이유도 공군탓도 있을듯.현실은 민간으로 구하기 쉬운것 중에서 가장 미래형 디자인으로 생겼기에(...)[5]

아포피스의 첫 지구 침투 사건을 계기로 잭 오닐은 스타게이트 보관 기지의 책임자 조지 해먼드 장군에게 불려온다. 그는 스타게이트 사령부[6]에 합류하게 되며, 최초의 팀이자 최고의 팀인 SG-1을 맡게 된다. 이 SG-1팀을 중심으로 전개된다.","Ben Browder, Amanda Tapping, Christopher Judge","Dean Devlin, Robert C. Cooper, Paul Mullie",https://image.tmdb.org/t/p/original/AllIGHcRvZX6tEobLIngEl1QaN9.png,https://image.tmdb.org/t/p/original/dQjmI7XxI47v8IM2MUysHG0LuU2.jpg,https://www.youtube.com/watch?v=wSRS7c_UqaM
49,4660,시리즈,Adam-12,,12,7,"Adam-12 is a television police drama that followed two police officers of the Los Angeles Police Department, Pete Malloy and Jim Reed, as they patrolled the streets of Los Angeles in their patrol unit, 1-Adam-12.","Martin Milner, Kent McCord, William Boyett",Jack Webb,https://image.tmdb.org/t/p/original/lBlwuCkIYAkts9bFM3IU5eKFQaz.png,https://image.tmdb.org/t/p/original/9hY1H8A6sPghNNHPQJYMgJYpemZ.jpg,https://www.youtube.com/watch?v=None
50,8514,시리즈,루폴의 드래그 레이스,Reality,19,16,독보적인 무대 장악력을 뽐내는 퀸들이 무한 경쟁에 나섰다. 이들의 목표는 10만 달러 상금과 '미국의 차세대 드래그 슈퍼스타'라는 명예. 드래그 퀸의 대모 격인 루폴이 이들의 화려한 무대를 이끈다. 에미상 수상에 빛나는 리얼리티 쇼.,"RuPaul, Michelle Visage, Carson Kressley","Tori Himes, Casey Allan, West Buchanan",https://image.tmdb.org/t/p/original/y2wUAB4og8Pi6ocOag3LSkKqVHz.png,https://image.tmdb.org/t/p/original/6LThfVcGWSLswQaQh2vvk1Q2IoH.jpg,https://www.youtube.com/watch?v=None
51,10545,시리즈,트루 블러드,"드라마, 미스터리",19,7,"샬레인 해리스의 베스트셀러 소설을 바탕으로 한다. 루이지애나의 한 바에서 웨이트리스 일하는 수키. 조용하고 총명하며 아름다운 그녀에게는 다른 사람의 마음을 읽을 수 있는 능력이 있다. 그러던 어느 날, 매력적인 뱀파이어 빌이 나타나는데, 그녀는 그의 마음을 읽어낼 수가 없다. 그러면서 수키는 빌에게 빠져들기 시작한다. 하지만 뱀파이어들은 살인을 저질렀다는 의심을 받고 자꾸 무서운 일들이 일어나는데..","안나 패퀸, Stephen Moyer, 알렉산더 스카스가드","Alexander Woo, Alan Ball, Brian Buckner",https://image.tmdb.org/t/p/original/mETkvJgly1edlc6gOyqwrXYrppi.png,https://image.tmdb.org/t/p/original/ktEp6fzL4xzCWsSVtrcH8JaQNQy.jpg,https://www.youtube.com/watch?v=3Wk3HSiX-vQ
52,14814,시리즈,4차원 가족 카다시안 따라잡기,Reality,19,20,"킴, 코트니, 클로이 카다시안 자매와 이들의 어머니 크리스. '유명한 것으로 유명한' 가족이자 늘 화제와 논란을 몰고 다니는 카다시안 패밀리의 24시간을 따라간다. 이 핫한 셀럽 가족에게 지금의 명성을 가져다준 리얼리티 시리즈.","크리스 제너, 코트니 카다시안, 킴 카다시안","Ryan Seacrest, Gil Goldschein, Jeff Jenkins",https://image.tmdb.org/t/p/original/ug6Fw8GRAbDJ5gAQChbVCqyQABZ.svg,https://image.tmdb.org/t/p/original/nddXOC8wYpIDv7giLzjjqIg8WDA.jpg,https://www.youtube.com/watch?v=None
53,14929,시리즈,하트랜드,"가족, 드라마, 코미디",12,17,야무진 소녀 에이미는 어머니의 갑작스럽게 죽은 충격에서 헤어나지 못 한다. 한편 에이미와 그녀의 할아버지는 목장을 잃을 수 있는 위기에 봉착한다.,"Amber Marshall, Graham Wardle, Shaun Johnston",,https://image.tmdb.org/t/p/original/1bVQuM21SMsCAIkSe61HvBdKlfi.png,https://image.tmdb.org/t/p/original/uc2gtWczT58BiAUJWFz9P5aZmNF.jpg,https://www.youtube.com/watch?v=gnLKnXN6VQc
54,17610,시리즈,NCIS: 로스앤젤레스,"드라마, 범죄, 미스터리",15,14,LA 지역에서 활동하는 NCIS 특수작전부 소속 위장잡입수사 전문요원들의 활약을 그린다. NCIS의 첫번째 스핀오프 시리즈.,"Chris O'Donnell, Daniela Ruah, Eric Christian Olsen",Shane Brennan,https://image.tmdb.org/t/p/original/4WlxwU0nXG1W0hJqT58w2AWHPQM.png,https://image.tmdb.org/t/p/original/TIIgcznwNfNr3KOZvxn26eKV99.jpg,https://www.youtube.com/watch?v=Or5YChRcVAM
55,21762,시리즈,Parenthood,Drama,,6,"The trials and tribulations of the very large, colorful and imperfect Braverman family.","Peter Krause, Monica Potter, Lauren Graham",Debra James,https://image.tmdb.org/t/p/original/sugCFBeGOxmIXp0bC0iPMrM7pBW.png,https://image.tmdb.org/t/p/original/9KjKLJrrUI1sU9bNsQaQ5H8kTyY.jpg,https://www.youtube.com/watch?v=o_cblVvo5bg
56,22980,시리즈,Watch What Happens Live with Andy Cohen,,,21,Bravo network executive Andy Cohen discusses pop culture topics with celebrities and reality show personalities.,Andy Cohen,,https://image.tmdb.org/t/p/original/oYB3zGjXNrmmznTUAxORfReWzhw.png,https://image.tmdb.org/t/p/original/onSD9UXfJwrMXWhq7UY7hGF2S1h.jpg,https://www.youtube.com/watch?v=None
57,30984,시리즈,블리치,애니메이션,15,2,"'쿠로사키 이치고'는 유령을 볼 수 있는 15세의 남자다. 특수한 체질을 가지고도 평범한 생활을 하던 이치고에게 갑자기 스스로를 사신이라고 소개하는 소녀 '쿠치키 루키아'가 나타난다. 유아울러 산 사람, 죽은 사람 안 가리고 공격해서 영혼을 먹어치우는 나쁜 혼령 '호로'도 모습을 드러낸다. 그런데 호로로 인해 이치고의 가족이 쓰러져가는데...","Masakazu Morita, 折笠富美子, 安元洋貴","Haruo Miyagawa, Satomi Okuhara, Yoshihiko Tominaga",https://image.tmdb.org/t/p/original/21zm3sP3j6rmpbZR3j0quusRe6h.png,https://image.tmdb.org/t/p/original/2EewmxXe72ogD0EaWM8gqa0ccIw.jpg,https://www.youtube.com/watch?v=T6wo7bfYYu4
